gene_id;gene;Perturbation;p.value;adj.p.value;t.value_like_statistic
6197;RPS6KA3;0.3318566478644719;0.015992003998001;0.0749661097594915;1969.0
chebi:456216;ADP(3-);3.1086313739964746;4.9975012493753125e-06;3.5389360950461e-05;2000.99
6196;RPS6KA2;-0.325460178639377;0.4037981009495252;0.5329848985471857;1193.0000000000002
chebi:30616;ATP(4-);4.390928411025882;4.9975012493753125e-06;3.5389360950461e-05;2000.99
5594;MAPK1;0.3722221936489733;0.0009995002498750624;0.0062722145941057;1999.0
5595;MAPK3;-0.2015433488539365;0.96151924037981;1.0;77.00000000000027
5598;MAPK7;-0.2502314225380389;0.4532733633183408;0.562487203731098;1094.0
9252;RPS6KA5;0.1700286662923945;0.169415292353823;0.3572441821862107;1662.0000000000002
6195;RPS6KA1;-0.1440420563882598;0.6146926536731634;0.6952927957347723;771.0
1432;MAPK14;0.2970155447969525;4.9975012493753125e-06;3.5389360950461e-05;2000.99
2002;ELK1;0.0038243328253962;4.9975012493753125e-06;3.5389360950461e-05;2000.99
5600;MAPK11;-0.2376001107677552;0.9985007496251874;1.0;2.999999999999967
4205;MEF2A;0.284118236245642;0.1159420289855072;0.3218054153210578;1769.0
4208;MEF2C;0.5558736633392916;0.0089955022488755;0.0455948781840869;1983.0000000000002
5519;PPP2R1B;0.006554083136961;0.0714642678660669;0.2371087183680887;1858.0000000000002
chebi:43474;hydrogenphosphate;17.024661564737006;4.9975012493753125e-06;3.5389360950461e-05;2000.99
cpd:C00001;H2O;7.069653747390397;4.9975012493753125e-06;3.5389360950461e-05;2000.99
51231;VRK3;-0.2677911087372981;0.2403798100949525;0.4108314252436056;1520.0000000000002
1849;DUSP7;-0.3089549299955907;0.2168915542228885;0.3880108620278526;1567.0
5515;PPP2CA;1.7330047211109898;4.9975012493753125e-06;3.5389360950461e-05;2000.99
1848;DUSP6;-0.0970965589609862;0.3988005997001499;0.5297828771003943;1203.0
5516;PPP2CB;0.6274203155796345;4.9975012493753125e-06;3.5389360950461e-05;2000.99
1846;DUSP4;-0.0309625879768991;0.4592703648175912;0.5660706999881151;1082.0
5528;PPP2R5D;0.0378767056570959;0.0624687656171914;0.2154346835392876;1876.0
5518;PPP2R1A;0.9208653985020636;4.9975012493753125e-06;3.5389360950461e-05;2000.99
1845;DUSP3;0.0977009260377328;0.3548225887056472;0.4990977694155348;1291.0
hsa-miR-199b-3p;hsa-miR-199b-3p;-0.0008502322505444632;0.7576211894052973;0.8318425639914965;485.00000000000006
hsa-miR-199a-3p;hsa-miR-199a-3p;-0.0128162195667834;0.3268365817091454;0.4785188292332233;1347.0
hsa-miR-451a;hsa-miR-451a;-6.809359573370514e-06;0.1899050474762618;0.3572441821862107;1621.0000000000002
hsa-miR-143-3p;hsa-miR-143-3p;-0.0299189188556401;0.5622188905547226;0.6466363894376914;876.0
hsa-miR-181a-5p;hsa-miR-181a-5p;-0.015824558088309;0.375312343828086;0.512450106158223;1250.0
hsa-miR-155-5p;hsa-miR-155-5p;-0.1132576794622867;0.4282858570714642;0.5474017685035033;1144.0
hsa-miR-214-3p;hsa-miR-214-3p;-0.1426036884465049;0.2818590704647676;0.4440599181190245;1437.0
hsa-miR-148a-3p;hsa-miR-148a-3p;-0.0125668437350788;0.2213893053473263;0.3920258260374449;1558.0000000000002
hsa-miR-197-3p;hsa-miR-197-3p;-0.0004725646150743403;0.7741129435282359;0.8471577798854819;451.99999999999994
hsa-miR-128-3p;hsa-miR-128-3p;0.0008556887572414527;0.4787606196901549;0.5788829270591364;1043.0000000000002
hsa-miR-125b-5p;hsa-miR-125b-5p;0.0014404560118203;0.4297851074462768;0.5475301405440486;1141.0
hsa-miR-24-3p;hsa-miR-24-3p;-0.0050779653098928;0.5272363818090955;0.6158105207001124;945.9999999999999
hsa-miR-483-5p;hsa-miR-483-5p;-0.0057504388826295;0.4907546226886556;0.5882067769605973;1019.0
hsa-miR-27a-3p;hsa-miR-27a-3p;-0.0576440175874031;0.2688655672163918;0.4330002248412926;1463.0
hsa-miR-141-3p;hsa-miR-141-3p;-0.0096790777616739;0.3633183408295852;0.5040293516187149;1274.0
hsa-miR-550a-3p;hsa-miR-550a-3p;6.036097579625271e-06;0.1899050474762618;0.3572441821862107;1621.0000000000002
hsa-miR-1-3p;hsa-miR-1-3p;-0.0157816396155646;0.3423288355822089;0.4903790099460791;1316.0
hsa-miR-129-5p;hsa-miR-129-5p;0.0041273466529516;0.5142428785607196;0.6056947829402833;972.0000000000001
hsa-miR-145-5p;hsa-miR-145-5p;-0.072398495569431;0.4332833583208396;0.5497947598046345;1134.0
hsa-miR-329-3p;hsa-miR-329-3p;0.00011448000171223448;0.4232883558220889;0.5445259869449056;1154.0
hsa-miR-375;hsa-miR-375;3.019806065435734e-06;0.1899050474762618;0.3572441821862107;1621.0000000000002
hsa-miR-191-5p;hsa-miR-191-5p;-0.002880986502369;0.9640179910044976;1.0;72.00000000000033
hsa-miR-132-3p;hsa-miR-132-3p;-0.0207047679987486;0.5017491254372813;0.5968157758088213;997.0
hsa-miR-135b-5p;hsa-miR-135b-5p;-0.0189086122296991;0.8590704647676162;0.9265959125700308;282.00000000000006
hsa-miR-122-5p;hsa-miR-122-5p;-0.1595516460652425;0.1139430284857571;0.3180613294707611;1773.0
hsa-miR-9-3p;hsa-miR-9-3p;0.1847668690414981;0.1594202898550724;0.3572441821862107;1682.0000000000002
hsa-miR-335-5p;hsa-miR-335-5p;-0.0293341566220907;0.2143928035982009;0.3852574458782316;1572.0
hsa-miR-499a-3p;hsa-miR-499a-3p;5.530021242811592e-06;0.1899050474762618;0.3572441821862107;1621.0000000000002
hsa-miR-223-3p;hsa-miR-223-3p;-0.0784967505140152;0.3418290854572713;0.4897527444184203;1317.0
hsa-miR-587;hsa-miR-587;-2.6174419511622872e-06;0.1899050474762618;0.3572441821862107;1621.0000000000002
hsa-miR-320a;hsa-miR-320a;5.8173214618264567e-05;0.1899050474762618;0.3572441821862107;1621.0000000000002
hsa-miR-21-5p;hsa-miR-21-5p;-0.2657361276558667;0.3108445777111444;0.4665350415283156;1379.0
hsa-miR-378a-3p;hsa-miR-378a-3p;0.0020812394386643;0.6766616691654173;0.7538417357423466;647.0000000000001
hsa-miR-125a-5p;hsa-miR-125a-5p;0.042310146778526;0.0179910044977511;0.0828729501092348;1965.0
hsa-miR-200a-3p;hsa-miR-200a-3p;-0.0340027244100055;0.1019490254872563;0.2973022708239845;1797.0000000000002
hsa-miR-23a-3p;hsa-miR-23a-3p;-0.025382730101428;0.5452273863068465;0.6314538935872696;910.0000000000001
hsa-miR-26a-5p;hsa-miR-26a-5p;0.0040888913655816;0.4602698650674662;0.566722654715423;1080.0000000000002
hsa-miR-28-5p;hsa-miR-28-5p;-0.0020907242807021;0.0239880059970015;0.1052045405868494;1953.0
hsa-miR-185-5p;hsa-miR-185-5p;-0.0052516682831958;0.2618690654672663;0.4268697509652253;1477.0000000000002
hsa-miR-183-5p;hsa-miR-183-5p;0.0567617798716261;0.0709645177411294;0.2358003935214057;1859.0
9542;NRG2;-0.5948501539247374;0.128935532233883;0.3420439898654536;1743.0000000000002
chebi:57836;1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-);0.4441424814949044;4.9975012493753125e-06;3.5389360950461e-05;2000.99
4893;NRAS;-0.4954067120613789;1.0;1.0;0.0
chebi:59888;gamma-aminobutyric acid zwitterion;-0.2989623513750808;0.9725137431284356;1.0;55.00000000000029
2562;GABRB3;0.4418656286591797;0.0259870064967516;0.1116571242370033;1949.0000000000002
3265;HRAS;-1.0838037458232228;1.0;1.0;0.0
2561;GABRB2;0.6572257120326745;0.0014992503748125;0.0091266575110578;1998.0000000000002
2066;ERBB4;0.1643718385923606;0.0029985007496251;0.0171278826110476;1995.0
2560;GABRB1;0.3872703158598694;0.0409795102448775;0.1583064870229578;1919.0000000000002
2065;ERBB3;-0.2995271873839515;0.6096951524237881;0.6906378962161229;781.0
3084;NRG1;-0.0622278239629357;0.68015992003998;0.7567697461672802;639.9999999999999
cpd:C00038;Zinc cation;2.534396019259415;4.9975012493753125e-06;3.5389360950461e-05;2000.99
2567;GABRG3;0.1228086556794874;0.2253873063468265;0.3958372468280722;1550.0000000000002
2566;GABRG2;0.6702146971135344;0.0004997501249375312;0.0032738860695175;2000.0
chebi:37565;GTP(4-);2.690253271038153;4.9975012493753125e-06;3.5389360950461e-05;2000.99
2554;GABRA1;0.7905270580112662;0.0014992503748125;0.0091266575110578;1998.0000000000002
10718;NRG3;0.0782453579641483;0.2093953023488255;0.3800721364335221;1582.0000000000002
55879;GABRQ;0.1554407202708091;0.2043978010994502;0.3742552183152956;1592.0000000000002
145957;NRG4;-0.1404046538597913;0.5402298850574713;0.6272435528620562;920.0
chebi:58189;GDP(3-);9.310787268251108;4.9975012493753125e-06;3.5389360950461e-05;2000.99
6868;ADAM17;0.0150114808652684;0.3288355822088955;0.4800092029316312;1343.0
3845;KRAS;-0.2008737104484553;1.0;1.0;0.0
6233;RPS27A;1.328130454589706;4.9975012493753125e-06;3.5389360950461e-05;2000.99
83737;ITCH;0.2757858572829098;0.0279860069965017;0.1181069842437271;1945.0000000000002
11059;WWP1;0.340215724010992;0.0429785107446276;0.1641655386017652;1915.0000000000002
5663;PSEN1;-0.1088518248582992;0.5247376311844077;0.6135785729241428;951.0000000000001
55851;PSENEN;0.0258318126349625;0.3313343328335832;0.4820388077657881;1338.0
